Run,Cell_type,GEO_Accession (exp),sex,Strain,Dir
SRR2727225,ES,GSM1912028,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727225.SRR2727225.fastq_Aligned.sortedByCoord.out.bam
SRR2727226,ES,GSM1912029,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727226.SRR2727226.fastq_Aligned.sortedByCoord.out.bam
SRR2727227,ES,GSM1912030,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727227.SRR2727227.fastq_Aligned.sortedByCoord.out.bam
SRR2727228,ES,GSM1912031,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727228.SRR2727228.fastq_Aligned.sortedByCoord.out.bam
SRR2727229,ES,GSM1912032,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727229.SRR2727229.fastq_Aligned.sortedByCoord.out.bam
SRR2727230,ES,GSM1912033,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727230.SRR2727230.fastq_Aligned.sortedByCoord.out.bam
SRR2727231,ES,GSM1912034,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727231.SRR2727231.fastq_Aligned.sortedByCoord.out.bam
SRR2727232,ES,GSM1912035,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727232.SRR2727232.fastq_Aligned.sortedByCoord.out.bam
SRR2727233,ES,GSM1912036,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727233.SRR2727233.fastq_Aligned.sortedByCoord.out.bam
SRR2727234,ES,GSM1912037,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727234.SRR2727234.fastq_Aligned.sortedByCoord.out.bam
SRR2727276,Epi,GSM1912079,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727276.SRR2727276.fastq_Aligned.sortedByCoord.out.bam
SRR2727277,Epi,GSM1912080,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727277.SRR2727277.fastq_Aligned.sortedByCoord.out.bam
SRR2727278,Epi,GSM1912081,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727278.SRR2727278.fastq_Aligned.sortedByCoord.out.bam
SRR2727279,Epi,GSM1912082,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727279.SRR2727279.fastq_Aligned.sortedByCoord.out.bam
SRR2727280,Epi,GSM1912083,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727280.SRR2727280.fastq_Aligned.sortedByCoord.out.bam
SRR2727281,Epi,GSM1912084,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727281.SRR2727281.fastq_Aligned.sortedByCoord.out.bam
SRR2727282,Epi,GSM1912085,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727282.SRR2727282.fastq_Aligned.sortedByCoord.out.bam
SRR2727283,Epi,GSM1912086,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727283.SRR2727283.fastq_Aligned.sortedByCoord.out.bam
SRR2727284,Epi,GSM1912087,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727284.SRR2727284.fastq_Aligned.sortedByCoord.out.bam
SRR2727285,Epi,GSM1912088,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727285.SRR2727285.fastq_Aligned.sortedByCoord.out.bam
SRR2727286,Epi,GSM1912089,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727286.SRR2727286.fastq_Aligned.sortedByCoord.out.bam
SRR2727287,Epi,GSM1912090,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727287.SRR2727287.fastq_Aligned.sortedByCoord.out.bam
SRR2727288,Epi,GSM1912091,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727288.SRR2727288.fastq_Aligned.sortedByCoord.out.bam
SRR2727289,Epi,GSM1912092,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727289.SRR2727289.fastq_Aligned.sortedByCoord.out.bam
SRR2727290,Epi,GSM1912093,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727290.SRR2727290.fastq_Aligned.sortedByCoord.out.bam
SRR2727291,Epi,GSM1912094,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727291.SRR2727291.fastq_Aligned.sortedByCoord.out.bam
SRR2727292,Epi,GSM1912095,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727292.SRR2727292.fastq_Aligned.sortedByCoord.out.bam
SRR2727293,Epi,GSM1912096,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727293.SRR2727293.fastq_Aligned.sortedByCoord.out.bam
SRR2727294,Epi,GSM1912097,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727294.SRR2727294.fastq_Aligned.sortedByCoord.out.bam
SRR2727295,Epi,GSM1912098,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727295.SRR2727295.fastq_Aligned.sortedByCoord.out.bam
SRR2727296,Epi,GSM1912099,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727296.SRR2727296.fastq_Aligned.sortedByCoord.out.bam
SRR2727297,Epi,GSM1912100,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727297.SRR2727297.fastq_Aligned.sortedByCoord.out.bam
SRR2727298,Epi,GSM1912101,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727298.SRR2727298.fastq_Aligned.sortedByCoord.out.bam
SRR2727299,Epi,GSM1912102,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727299.SRR2727299.fastq_Aligned.sortedByCoord.out.bam
SRR2727300,Epi,GSM1912103,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727300.SRR2727300.fastq_Aligned.sortedByCoord.out.bam
SRR2727301,Epi,GSM1912104,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727301.SRR2727301.fastq_Aligned.sortedByCoord.out.bam
SRR2727302,Epi,GSM1912105,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727302.SRR2727302.fastq_Aligned.sortedByCoord.out.bam
SRR2727303,Epi,GSM1912106,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727303.SRR2727303.fastq_Aligned.sortedByCoord.out.bam
SRR2727304,Epi,GSM1912107,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727304.SRR2727304.fastq_Aligned.sortedByCoord.out.bam
SRR2727305,Epi,GSM1912108,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727305.SRR2727305.fastq_Aligned.sortedByCoord.out.bam
SRR2727306,Epi,GSM1912109,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727306.SRR2727306.fastq_Aligned.sortedByCoord.out.bam
SRR2727307,Epi,GSM1912110,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727307.SRR2727307.fastq_Aligned.sortedByCoord.out.bam
SRR2727308,Epi,GSM1912111,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727308.SRR2727308.fastq_Aligned.sortedByCoord.out.bam
SRR2727309,Epi,GSM1912112,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727309.SRR2727309.fastq_Aligned.sortedByCoord.out.bam
SRR2727310,Epi,GSM1912113,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727310.SRR2727310.fastq_Aligned.sortedByCoord.out.bam
SRR2727311,Epi,GSM1912114,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727311.SRR2727311.fastq_Aligned.sortedByCoord.out.bam
SRR2727312,Epi,GSM1912115,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727312.SRR2727312.fastq_Aligned.sortedByCoord.out.bam
SRR2727313,Epi,GSM1912116,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727313.SRR2727313.fastq_Aligned.sortedByCoord.out.bam
SRR2727314,Epi,GSM1912117,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727314.SRR2727314.fastq_Aligned.sortedByCoord.out.bam
SRR2727315,Epi,GSM1912118,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727315.SRR2727315.fastq_Aligned.sortedByCoord.out.bam
SRR2727316,Epi,GSM1912119,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727316.SRR2727316.fastq_Aligned.sortedByCoord.out.bam
SRR2727317,Epi,GSM1912120,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727317.SRR2727317.fastq_Aligned.sortedByCoord.out.bam
SRR2727318,Epi,GSM1912121,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727318.SRR2727318.fastq_Aligned.sortedByCoord.out.bam
SRR2727319,Epi,GSM1912122,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727319.SRR2727319.fastq_Aligned.sortedByCoord.out.bam
SRR2727320,Epi,GSM1912124,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727320.SRR2727320.fastq_Aligned.sortedByCoord.out.bam
SRR2727321,Epi,GSM1912126,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727321.SRR2727321.fastq_Aligned.sortedByCoord.out.bam
SRR2727322,Epi,GSM1912129,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727322.SRR2727322.fastq_Aligned.sortedByCoord.out.bam
SRR2727323,Epi,GSM1912132,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727323.SRR2727323.fastq_Aligned.sortedByCoord.out.bam
SRR2727324,Epi,GSM1912133,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727324.SRR2727324.fastq_Aligned.sortedByCoord.out.bam
SRR2727325,Epi,GSM1912134,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727325.SRR2727325.fastq_Aligned.sortedByCoord.out.bam
SRR2727326,Epi,GSM1912135,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727326.SRR2727326.fastq_Aligned.sortedByCoord.out.bam
SRR2727327,Epi,GSM1912136,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727327.SRR2727327.fastq_Aligned.sortedByCoord.out.bam
SRR2727328,Epi,GSM1912137,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727328.SRR2727328.fastq_Aligned.sortedByCoord.out.bam
SRR2727329,Epi,GSM1912138,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727329.SRR2727329.fastq_Aligned.sortedByCoord.out.bam
SRR2727330,Epi,GSM1912139,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727330.SRR2727330.fastq_Aligned.sortedByCoord.out.bam
SRR2727331,Epi,GSM1912140,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727331.SRR2727331.fastq_Aligned.sortedByCoord.out.bam
SRR2727332,Epi,GSM1912141,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727332.SRR2727332.fastq_Aligned.sortedByCoord.out.bam
SRR2727333,Epi,GSM1912142,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727333.SRR2727333.fastq_Aligned.sortedByCoord.out.bam
SRR2727334,Epi,GSM1912143,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727334.SRR2727334.fastq_Aligned.sortedByCoord.out.bam
SRR2727335,Epi,GSM1912144,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727335.SRR2727335.fastq_Aligned.sortedByCoord.out.bam
SRR2727336,Epi,GSM1912145,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727336.SRR2727336.fastq_Aligned.sortedByCoord.out.bam
SRR2727337,Epi,GSM1912146,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727337.SRR2727337.fastq_Aligned.sortedByCoord.out.bam
SRR2727338,Epi,GSM1912147,male,male CAST/EiJ x female C57BL/6J,..align.SRR2727338.SRR2727338.fastq_Aligned.sortedByCoord.out.bam
SRR2727339,Epi,GSM1912148,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727339.SRR2727339.fastq_Aligned.sortedByCoord.out.bam
SRR2727340,Epi,GSM1912149,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727340.SRR2727340.fastq_Aligned.sortedByCoord.out.bam
SRR2727341,Epi,GSM1912150,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727341.SRR2727341.fastq_Aligned.sortedByCoord.out.bam
SRR2727342,Epi,GSM1912151,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727342.SRR2727342.fastq_Aligned.sortedByCoord.out.bam
SRR2727343,Epi,GSM1912152,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727343.SRR2727343.fastq_Aligned.sortedByCoord.out.bam
SRR2727344,Epi,GSM1912153,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727344.SRR2727344.fastq_Aligned.sortedByCoord.out.bam
SRR2727345,Epi,GSM1912154,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727345.SRR2727345.fastq_Aligned.sortedByCoord.out.bam
SRR2727346,Epi,GSM1912155,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727346.SRR2727346.fastq_Aligned.sortedByCoord.out.bam
SRR2727347,Epi,GSM1912156,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727347.SRR2727347.fastq_Aligned.sortedByCoord.out.bam
SRR2727348,Epi,GSM1912157,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727348.SRR2727348.fastq_Aligned.sortedByCoord.out.bam
SRR2727349,Epi,GSM1912158,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727349.SRR2727349.fastq_Aligned.sortedByCoord.out.bam
SRR2727350,Epi,GSM1912159,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727350.SRR2727350.fastq_Aligned.sortedByCoord.out.bam
SRR2727351,Epi,GSM1912160,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727351.SRR2727351.fastq_Aligned.sortedByCoord.out.bam
SRR2727352,Epi,GSM1912161,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727352.SRR2727352.fastq_Aligned.sortedByCoord.out.bam
SRR2727353,Epi,GSM1912162,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727353.SRR2727353.fastq_Aligned.sortedByCoord.out.bam
SRR2727354,Epi,GSM1912163,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727354.SRR2727354.fastq_Aligned.sortedByCoord.out.bam
SRR2727355,Epi,GSM1912164,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727355.SRR2727355.fastq_Aligned.sortedByCoord.out.bam
SRR2727356,Epi,GSM1912165,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727356.SRR2727356.fastq_Aligned.sortedByCoord.out.bam
SRR2727357,Epi,GSM1912166,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727357.SRR2727357.fastq_Aligned.sortedByCoord.out.bam
SRR2727358,Epi,GSM1912167,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727358.SRR2727358.fastq_Aligned.sortedByCoord.out.bam
SRR2727359,Epi,GSM1912168,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727359.SRR2727359.fastq_Aligned.sortedByCoord.out.bam
SRR2727360,Epi,GSM1912169,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727360.SRR2727360.fastq_Aligned.sortedByCoord.out.bam
SRR2727361,Epi,GSM1912170,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727361.SRR2727361.fastq_Aligned.sortedByCoord.out.bam
SRR2727362,Epi,GSM1912171,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727362.SRR2727362.fastq_Aligned.sortedByCoord.out.bam
SRR2727363,Epi,GSM1912172,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727363.SRR2727363.fastq_Aligned.sortedByCoord.out.bam
SRR2727364,Epi,GSM1912173,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727364.SRR2727364.fastq_Aligned.sortedByCoord.out.bam
SRR2727365,Epi,GSM1912174,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727365.SRR2727365.fastq_Aligned.sortedByCoord.out.bam
SRR2727366,Epi,GSM1912175,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727366.SRR2727366.fastq_Aligned.sortedByCoord.out.bam
SRR2727367,Epi,GSM1912176,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727367.SRR2727367.fastq_Aligned.sortedByCoord.out.bam
SRR2727368,Epi,GSM1912177,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727368.SRR2727368.fastq_Aligned.sortedByCoord.out.bam
SRR2727369,Epi,GSM1912178,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727369.SRR2727369.fastq_Aligned.sortedByCoord.out.bam
SRR2727370,Epi,GSM1912179,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727370.SRR2727370.fastq_Aligned.sortedByCoord.out.bam
SRR2727371,Epi,GSM1912180,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727371.SRR2727371.fastq_Aligned.sortedByCoord.out.bam
SRR2727372,Epi,GSM1912181,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727372.SRR2727372.fastq_Aligned.sortedByCoord.out.bam
SRR2727373,Epi,GSM1912182,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727373.SRR2727373.fastq_Aligned.sortedByCoord.out.bam
SRR2727374,Epi,GSM1912183,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727374.SRR2727374.fastq_Aligned.sortedByCoord.out.bam
SRR2727375,Epi,GSM1912184,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727375.SRR2727375.fastq_Aligned.sortedByCoord.out.bam
SRR2727376,Epi,GSM1912185,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727376.SRR2727376.fastq_Aligned.sortedByCoord.out.bam
SRR2727377,Epi,GSM1912186,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727377.SRR2727377.fastq_Aligned.sortedByCoord.out.bam
SRR2727378,Epi,GSM1912187,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727378.SRR2727378.fastq_Aligned.sortedByCoord.out.bam
SRR2727379,Epi,GSM1912188,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727379.SRR2727379.fastq_Aligned.sortedByCoord.out.bam
SRR2727380,Epi,GSM1912189,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727380.SRR2727380.fastq_Aligned.sortedByCoord.out.bam
SRR2727381,Epi,GSM1912190,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727381.SRR2727381.fastq_Aligned.sortedByCoord.out.bam
SRR2727382,Epi,GSM1912191,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727382.SRR2727382.fastq_Aligned.sortedByCoord.out.bam
SRR2727383,Epi,GSM1912192,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727383.SRR2727383.fastq_Aligned.sortedByCoord.out.bam
SRR2727384,Epi,GSM1912193,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727384.SRR2727384.fastq_Aligned.sortedByCoord.out.bam
SRR2727385,Epi,GSM1912194,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727385.SRR2727385.fastq_Aligned.sortedByCoord.out.bam
SRR2727386,Epi,GSM1912195,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727386.SRR2727386.fastq_Aligned.sortedByCoord.out.bam
SRR2727387,Epi,GSM1912196,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727387.SRR2727387.fastq_Aligned.sortedByCoord.out.bam
SRR2727388,Epi,GSM1912197,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727388.SRR2727388.fastq_Aligned.sortedByCoord.out.bam
SRR2727389,Epi,GSM1912198,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727389.SRR2727389.fastq_Aligned.sortedByCoord.out.bam
SRR2727390,Epi,GSM1912199,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727390.SRR2727390.fastq_Aligned.sortedByCoord.out.bam
SRR2727391,Epi,GSM1912200,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727391.SRR2727391.fastq_Aligned.sortedByCoord.out.bam
SRR2727392,Epi,GSM1912201,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727392.SRR2727392.fastq_Aligned.sortedByCoord.out.bam
SRR2727393,Epi,GSM1912202,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727393.SRR2727393.fastq_Aligned.sortedByCoord.out.bam
SRR2727394,Epi,GSM1912203,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727394.SRR2727394.fastq_Aligned.sortedByCoord.out.bam
SRR2727395,Epi,GSM1912204,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727395.SRR2727395.fastq_Aligned.sortedByCoord.out.bam
SRR2727396,Epi,GSM1912205,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727396.SRR2727396.fastq_Aligned.sortedByCoord.out.bam
SRR2727397,Epi,GSM1912206,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727397.SRR2727397.fastq_Aligned.sortedByCoord.out.bam
SRR2727398,Epi,GSM1912207,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727398.SRR2727398.fastq_Aligned.sortedByCoord.out.bam
SRR2727399,Epi,GSM1912208,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727399.SRR2727399.fastq_Aligned.sortedByCoord.out.bam
SRR2727400,Epi,GSM1912209,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727400.SRR2727400.fastq_Aligned.sortedByCoord.out.bam
SRR2727401,Epi,GSM1912210,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727401.SRR2727401.fastq_Aligned.sortedByCoord.out.bam
SRR2727402,Epi,GSM1912211,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727402.SRR2727402.fastq_Aligned.sortedByCoord.out.bam
SRR2727403,Epi,GSM1912212,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727403.SRR2727403.fastq_Aligned.sortedByCoord.out.bam
SRR2727404,Epi,GSM1912213,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727404.SRR2727404.fastq_Aligned.sortedByCoord.out.bam
SRR2727405,Epi,GSM1912214,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727405.SRR2727405.fastq_Aligned.sortedByCoord.out.bam
SRR2727406,Epi,GSM1912215,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727406.SRR2727406.fastq_Aligned.sortedByCoord.out.bam
SRR2727407,Epi,GSM1912216,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727407.SRR2727407.fastq_Aligned.sortedByCoord.out.bam
SRR2727408,Epi,GSM1912217,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727408.SRR2727408.fastq_Aligned.sortedByCoord.out.bam
SRR2727409,Epi,GSM1912218,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727409.SRR2727409.fastq_Aligned.sortedByCoord.out.bam
SRR2727410,Epi,GSM1912219,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727410.SRR2727410.fastq_Aligned.sortedByCoord.out.bam
SRR2727411,Epi,GSM1912220,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727411.SRR2727411.fastq_Aligned.sortedByCoord.out.bam
SRR2727412,Epi,GSM1912221,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727412.SRR2727412.fastq_Aligned.sortedByCoord.out.bam
SRR2727413,Epi,GSM1912222,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727413.SRR2727413.fastq_Aligned.sortedByCoord.out.bam
SRR2727414,Epi,GSM1912223,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727414.SRR2727414.fastq_Aligned.sortedByCoord.out.bam
SRR2727415,Epi,GSM1912224,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727415.SRR2727415.fastq_Aligned.sortedByCoord.out.bam
SRR2727416,Epi,GSM1912225,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727416.SRR2727416.fastq_Aligned.sortedByCoord.out.bam
SRR2727417,Epi,GSM1912226,female,male CAST/EiJ x female C57BL/6J,..align.SRR2727417.SRR2727417.fastq_Aligned.sortedByCoord.out.bam
SRR2727492,E5.5 Epiblast,GSM1912301,male,male C57BL/6J x female C57BL/6J,..align.SRR2727492.SRR2727492.fastq_Aligned.sortedByCoord.out.bam
SRR2727493,E5.5 Epiblast,GSM1912302,male,male C57BL/6J x female C57BL/6J,..align.SRR2727493.SRR2727493.fastq_Aligned.sortedByCoord.out.bam
SRR2727494,E5.5 Epiblast,GSM1912303,male,male C57BL/6J x female C57BL/6J,..align.SRR2727494.SRR2727494.fastq_Aligned.sortedByCoord.out.bam
SRR2727495,E5.5 Epiblast,GSM1912304,male,male C57BL/6J x female C57BL/6J,..align.SRR2727495.SRR2727495.fastq_Aligned.sortedByCoord.out.bam
SRR2727496,E5.5 Epiblast,GSM1912305,male,male C57BL/6J x female C57BL/6J,..align.SRR2727496.SRR2727496.fastq_Aligned.sortedByCoord.out.bam
SRR2727497,E5.5 Epiblast,GSM1912306,male,male C57BL/6J x female C57BL/6J,..align.SRR2727497.SRR2727497.fastq_Aligned.sortedByCoord.out.bam
SRR2727498,E5.5 Epiblast,GSM1912307,male,male C57BL/6J x female C57BL/6J,..align.SRR2727498.SRR2727498.fastq_Aligned.sortedByCoord.out.bam
SRR2727499,E5.5 Epiblast,GSM1912308,male,male C57BL/6J x female C57BL/6J,..align.SRR2727499.SRR2727499.fastq_Aligned.sortedByCoord.out.bam
SRR2727500,E5.5 Epiblast,GSM1912309,male,male C57BL/6J x female C57BL/6J,..align.SRR2727500.SRR2727500.fastq_Aligned.sortedByCoord.out.bam
SRR2727501,E5.5 Epiblast,GSM1912310,male,male C57BL/6J x female C57BL/6J,..align.SRR2727501.SRR2727501.fastq_Aligned.sortedByCoord.out.bam
SRR2727502,E5.5 Epiblast,GSM1912311,male,male C57BL/6J x female C57BL/6J,..align.SRR2727502.SRR2727502.fastq_Aligned.sortedByCoord.out.bam
SRR2727503,E5.5 Epiblast,GSM1912312,male,male C57BL/6J x female C57BL/6J,..align.SRR2727503.SRR2727503.fastq_Aligned.sortedByCoord.out.bam
SRR2727504,E5.5 Epiblast,GSM1912313,male,male C57BL/6J x female C57BL/6J,..align.SRR2727504.SRR2727504.fastq_Aligned.sortedByCoord.out.bam
SRR2727505,E5.5 Epiblast,GSM1912314,male,male C57BL/6J x female C57BL/6J,..align.SRR2727505.SRR2727505.fastq_Aligned.sortedByCoord.out.bam
SRR2727506,E5.5 Epiblast,GSM1912315,male,male C57BL/6J x female C57BL/6J,..align.SRR2727506.SRR2727506.fastq_Aligned.sortedByCoord.out.bam
SRR2727507,E5.5 Epiblast,GSM1912316,male,male C57BL/6J x female C57BL/6J,..align.SRR2727507.SRR2727507.fastq_Aligned.sortedByCoord.out.bam
SRR2727508,E5.5 Epiblast,GSM1912317,male,male C57BL/6J x female C57BL/6J,..align.SRR2727508.SRR2727508.fastq_Aligned.sortedByCoord.out.bam
SRR2727509,E5.5 Epiblast,GSM1912318,male,male C57BL/6J x female C57BL/6J,..align.SRR2727509.SRR2727509.fastq_Aligned.sortedByCoord.out.bam
SRR2727510,E5.5 Epiblast,GSM1912319,male,male C57BL/6J x female C57BL/6J,..align.SRR2727510.SRR2727510.fastq_Aligned.sortedByCoord.out.bam
SRR2727511,E5.5 Epiblast,GSM1912320,male,male C57BL/6J x female C57BL/6J,..align.SRR2727511.SRR2727511.fastq_Aligned.sortedByCoord.out.bam
SRR2727512,E5.5 Epiblast,GSM1912321,male,male C57BL/6J x female C57BL/6J,..align.SRR2727512.SRR2727512.fastq_Aligned.sortedByCoord.out.bam
SRR2727513,E5.5 Epiblast,GSM1912322,male,male C57BL/6J x female C57BL/6J,..align.SRR2727513.SRR2727513.fastq_Aligned.sortedByCoord.out.bam
SRR2727514,E5.5 Epiblast,GSM1912323,male,male C57BL/6J x female C57BL/6J,..align.SRR2727514.SRR2727514.fastq_Aligned.sortedByCoord.out.bam
SRR2727515,E5.5 Epiblast,GSM1912324,male,male C57BL/6J x female C57BL/6J,..align.SRR2727515.SRR2727515.fastq_Aligned.sortedByCoord.out.bam
SRR2727516,E5.5 Epiblast,GSM1912325,male,male C57BL/6J x female C57BL/6J,..align.SRR2727516.SRR2727516.fastq_Aligned.sortedByCoord.out.bam
